date,time,id_str,text,user_friends_count,user_followers_count,user_location,user_screen_name,user_verified,coordinates,retweet_count
1/25/2018,3:33,9.56E+17,Government photographer Simon Edelman was fired by the Trump administration after he leaked a photo suggesting they… https://t.co/txiGqooWhm,12534,,The Internet & NYC,nowthisnews,TRUE,,9419
1/24/2018,19:16,9.56E+17,"That was a hell of a pro-Clinton conspiracy the Obama Administration, Comey and the FBI we’re engaged in, which cul… https://t.co/RzsK5Y5kM7",2912,,,BillKristol,TRUE,,9707
1/24/2018,13:48,9.56E+17,"How is it that Senator Al Franken no longer holds public office, and President Trump, Rep. Meehan, and Rep. Farenth… https://t.co/6f1pOIQz21",3551,,,matthewjdowd,TRUE,,8959
1/26/2018,1:37,9.57E+17,"RT @AndrewKirell: NYT: Trump tried to fire Mueller over the summer. 

Fox News: https://t.co/9q1s6X2gQj",597,,"Grand Rapids, MI",NickLaFave,TRUE,,3
1/24/2018,13:48,9.56E+17,"RT @cforman: On the anniversary of Donald Trump’s inauguration, local journalism is more important than ever. My latest, in MediaPost: http…",1648,,"Sacramento, California",mcclatchy,TRUE,,23
1/24/2018,13:48,9.56E+17,"RT @ianbremmer: In addressing the grievances of those who feel left behind:

""Trump may have the wrong answers, but during the campaign, he…",518,,"Paris, France ",ARobertsjourno,TRUE,,173
1/24/2018,13:48,9.56E+17,"""Perjury trap"" sounds like the type of musical genre that takes over dance floors in the summer.

 https://t.co/EumJhft4QK",293,,"Washington, DC | San Salvador",crislopezg,TRUE,,0
1/24/2018,13:48,9.56E+17,Local journalism is crucial in the age of Trump via @mcclatchy CEO @cforman and @MediaPost #OpEd https://t.co/lwlGoe4Wko,1648,,"Sacramento, California",mcclatchy,TRUE,,4
1/24/2018,13:48,9.56E+17,The Trump administration has opted out of testing whether school kids can recognise fake news… https://t.co/Ve1QHBnWHg,64,,New York,lifeinsider,TRUE,,0
1/24/2018,13:48,9.56E+17,"RT @MSNBC: Tourism to U.S. is down since President Trump took office, costing $4.6 billion and 40,000 jobs https://t.co/GalpCBOv4S",2676,,NYC,AndreaChalupa,TRUE,,12404
